episod,total_reward
1,-6.20041315796
2,-6.27427390521
3,-6.2960325747
4,-6.38791707767
5,-16.0942806506
6,-10.027317277
7,-26.13851121
8,-27.5206966092
9,-19.2847781542
10,-25.4576714676
11,-5.73056773421
12,2.7338249562
13,-0.317099547961
14,2.16735900247
15,-1.31920998308
16,-1.80668051946
17,-4.0814193167
18,-15.326643549
19,-6.67699378784
20,-57.8557564249
21,-9.34776357331
22,-17.72848164
23,-18.0787383852
24,9.35548369883
25,-37.1114832902
26,-28.0697400344
27,-37.5894674779
28,-12.6954701122
29,-5.50404777104
30,1.55250983448
31,-15.1989984762
32,0.102721363236
33,-4.97310412472
34,-3.52285810484
35,0.874674055266
36,6.29828179818
37,1.88040945338
38,-3.6932313266
39,-9.11548443368
40,-9.71724823027
41,3.31086256077
42,3.53393118017
43,-5.71785461467
44,-32.7719601008
45,-188.466471353
46,-132.105953139
47,-5.86338471008
48,8.78329186177
49,-3.72991755263
50,-4.39708085314
51,1.86780512677
52,-2.44330878589
53,-1.6362813536
54,-20.4938432145
55,2.38126515168
56,-0.733654584996
57,4.32866742453
58,0.157366806408
59,-4.4364408173
60,2.82391392266
61,-1.50625224567
62,6.99541052291
63,1.4036566618
64,-6.67670659516
65,1.38512916063
66,-0.914812639451
67,-6.22947080111
68,0.085592160803
69,-4.65119847086
70,-1.57568952269
71,-8.11515272815
72,-13.0193231256
73,-10.4376133394
74,-13.3960826176
75,-2.24529361287
76,-13.1171060183
77,8.02325763127
78,0.57255478338
79,0.600597624034
80,4.97972645262
81,-2.63978313103
82,5.77658985924
83,2.82858624002
84,1.79830469904
85,2.05776193767
86,3.17601795586
87,0.186221684212
88,8.5774684336
89,-12.1491605005
90,-6.05638173457
91,0.39063311902
92,-4.10588452763
93,5.10688809538
94,-2.36107589513
95,9.1979267483
96,-0.855594620181
97,-10.7028676962
98,-0.207413159915
99,0.125854602892
100,-4.61212439276
101,-8.31117657966
102,-3.41357037613
103,4.10279463049
104,-0.0114304925392
105,-9.51537702301
106,-3.49867781496
107,-9.48071220799
108,-11.0431824906
109,-12.2941610449
110,-36.8096912009
111,-33.6231057454
112,-29.756953125
113,-41.5516396162
114,-31.6256835202
115,-23.6241274871
116,-22.410260716
117,-20.2112274063
118,-21.362902403
119,-21.3320047639
120,-21.6751000644
121,-21.9473287298
122,-20.1260650931
123,-25.8075448838
124,-24.2469917378
125,-11.0743534123
126,-161.081708178
127,-161.688159602
128,-92.3452951455
129,-3.43339224322
130,-3.79602229142
131,-3.52593985239
132,-3.95225500604
133,-3.58655967719
134,-4.14297110091
135,-3.57018797485
136,-3.9729846311
137,-3.59092865149
138,-3.55107159519
139,-3.87506917771
140,-3.98485933024
141,-3.91526703801
142,-3.82175347705
143,-3.77831105834
144,-10.387682781
145,-6.92933711461
146,-7.0028713944
147,-2.83784560583
148,-10.3156152958
149,-8.19553089442
150,-1.28473978711
151,-12.6401442464
152,-10.1628068679
153,-0.974244732127
154,-7.99244406162
155,-17.7880627453
156,-163.14718168
157,-170.683063405
158,-162.244499859
159,-162.930846137
160,-166.704164891
161,-160.735730755
162,-164.797377904
163,-169.00606364
164,-165.992410065
165,-163.43547467
166,-168.716438594
167,-82.2301117895
168,-165.201221555
169,-164.801369534
170,-161.147872076
171,-164.769413538
172,-55.416171449
173,-57.4900362481
174,-41.6062900027
175,-23.9529778862
176,-15.8763007828
177,-16.5398247166
178,-53.8639436016
179,-58.498058395
180,-55.0697470536
181,-170.531094882
182,-160.550738881
183,-169.584756399
184,-59.9281690292
185,-136.826590401
186,-168.663473278
187,-166.894393255
188,-168.827421854
189,-165.086145057
190,-166.967386751
191,-96.0435057603
192,-29.7160724219
193,-23.7542814195
194,-19.5436229906
195,-20.2997655711
196,-18.9269204924
197,-19.1034614217
198,-19.7790298457
199,-19.6489212496
200,-21.4325634168
201,-19.4643222295
202,-20.2770152474
203,-182.033656761
204,-89.6798809968
205,-152.047183389
206,-156.525682683
207,-162.992275305
208,-125.165449084
209,-167.695340337
210,-162.282785232
211,-165.804031762
212,-168.082362329
213,-165.389908745
214,-167.27992329
215,-168.153246517
216,-162.613881006
217,-168.394486198
218,-132.869691556
219,0.527642748825
220,-3.3220936453
221,-3.56495276049
222,-3.45311613521
223,-3.75807236674
224,-3.53770935278
225,-3.68749763118
226,-3.3127944091
227,-3.38209156036
228,-3.36529524254
229,-2.84857611082
230,-3.38620217531
231,-3.95856397385
232,-3.41100469328
233,-3.87561754323
234,-3.50470169811
235,-3.52458142003
236,-3.25588098935
237,-3.36802992995
238,-3.94147594833
239,-3.63713984956
240,-3.4449474924
241,-3.25200871902
242,-3.67654075658
243,-18.8816335156
244,-49.5305400508
245,-11.3481122475
246,-4.61326144979
247,-19.3570497491
248,-182.845463346
249,-172.446900114
250,-163.381070345
251,-163.370869288
252,-160.012017348
253,-160.031065661
254,-160.393715861
255,-167.846270037
256,-165.462026358
257,-160.353826371
258,-165.170008327
259,-168.927076736
260,-167.743296116
261,-166.029214335
262,-131.626028894
263,-136.470683785
264,-160.930022435
265,-167.84660722
266,-169.832212887
267,-167.18867788
268,-168.796057935
269,-164.939510217
270,-163.49258031
271,-165.274550713
272,-164.937377719
273,-163.599245388
274,-170.48154786
275,-164.341671221
276,-162.607119741
277,-172.962538914
278,-171.034145045
279,-160.916723105
280,-135.591377026
281,-96.1073280248
282,-168.320330715
283,-161.545632048
284,-162.263890395
285,-165.716041131
286,-161.977670617
287,-163.927143019
288,-168.036593677
289,-166.237922148
290,-166.381129059
291,-161.432074164
292,-164.15361754
293,-166.591587449
294,-162.134284938
295,-162.621059597
296,-165.212016015
297,-165.246708763
298,-167.5690981
299,-166.5109253
300,-165.450933268
301,-56.5956804878
302,-133.896277979
303,-163.635789979
304,-162.371963076
305,-161.91363685
306,-167.108339714
307,-165.431097483
308,-166.760660371
309,-88.3807293398
310,-169.132084291
311,-166.063823455
312,-164.146517701
313,-164.654667215
314,-165.949668012
315,-169.033829112
316,-167.320435805
317,-167.45407507
318,-162.085091328
319,-165.844953881
320,-163.576622363
321,-166.875107008
322,-169.70413548
323,-169.958347354
324,-162.040004125
325,-166.048678536
326,-164.344959827
327,-168.917820888
328,-166.826613541
329,-164.795814666
330,-165.23729938
331,-166.232953244
332,-66.214841713
333,-42.0414275891
334,3.69787346055
335,-0.89287319616
336,-161.86362384
337,-100.926390795
338,-166.07295172
339,-166.838249371
