time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.38578235983e-07,2.39176961534e-07,10.0005767573,0.000260487408179,0.000498394414142,0.0,-4.37585325928e-05,2.07548190003e-05,0.0192248860864,0.0118538363945,0.0211813246073,0.0,409.2031358676302,411.08392941633247,410.2768813388624,411.3277291915331
0.12000000000000001,-2.00324720431e-05,1.05221840802e-05,10.0072001275,0.000613695223471,0.00153089396894,0.0,-0.0007392712093,0.000387352640999,0.201538672156,-0.0100439474114,0.00776220547802,0.0,463.12435237872916,462.0677858176759,462.8328961947267,461.10649808761707
0.18,-0.000102870380113,4.56335752529e-05,10.0254727533,6.28293353035,0.00190398054256,0.0,-0.00207150472157,0.000698814476837,0.407497422963,-0.0250657926853,0.00293565626233,0.0,468.70135607389693,468.32605548370725,470.8323519730542,469.66902179405
0.23999999999999996,-0.000264403314623,7.7697130273e-05,10.0507960158,6.28136645473,0.00308484027618,0.0,-0.00338607867422,0.000229542191317,0.436600131978,-0.0283095652562,0.0410588649534,0.0,411.86059235734314,415.21820607120503,414.55751589784325,414.2722417049676
0.3,-0.000551129138131,4.16198176507e-05,10.0829477385,6.28006716369,0.00521103876959,0.0,-0.00644268073895,-0.00160372675721,0.635032885438,-0.0108786214801,0.0207620233656,0.0,467.8682860607573,466.2860664653687,466.8840144005298,468.24178130292785
0.36000000000000004,-0.00107237012542,-0.000134341811289,10.1280324662,6.27948641476,0.00688012921156,0.0,-0.0111119071305,-0.00433607460597,0.867642471794,-0.00738206139729,0.0391202077291,0.0,476.62919463575037,478.03010752575614,477.68967172172677,477.9563225787178
0.4200000000000001,-0.00188303362713,-0.000468295032709,10.1820710053,6.27945958003,0.00952037004224,0.0,-0.0161530405745,-0.00681563313293,0.933588268498,0.0106988102643,0.0523175794224,0.0,426.3988901488224,427.52585456525327,425.75629443269474,427.30027594092576
0.48000000000000015,-0.00307742568443,-0.000957753147921,10.2427277845,6.27995442639,0.0123319672459,0.0,-0.0239897138672,-0.00943600556672,1.08816637069,0.00282838503775,0.0327619488344,0.0,454.55693673471967,452.98850995709023,456.1272876918286,455.4982789116424
0.5400000000000001,-0.00475756922087,-0.00158457104595,10.3093067314,6.28006764386,0.0145076929308,0.0,-0.0322090221742,-0.011444488256,1.13108751207,-6.58402168722e-05,0.0424747310458,0.0,419.130528883892,419.9743990868154,419.83067300512624,419.57946853236416
0.6000000000000002,-0.00705703344258,-0.00234748187436,10.3839640822,6.28007083983,0.0175068850384,0.0,-0.044774704012,-0.0139851554544,1.35724459078,0.000290443903729,0.0618707211377,0.0,476.0316473385642,477.5147172169649,476.3102490954074,476.3374915108285
0.6600000000000003,-0.0101426548872,-0.00325490827085,10.4696802315,6.28001165734,0.0209665548227,0.0,-0.058466360746,-0.0162639440262,1.49977640438,-0.00367101009492,0.0475329126862,0.0,452.69833821791053,451.5454701591498,452.13859028755064,451.8193739151886
0.7200000000000003,-0.0140815109436,-0.00429484011003,10.5620395549,6.28008018317,0.0240446701299,0.0,-0.0731207365288,-0.0184062038024,1.57875469982,0.00935496045733,0.057935613462,0.0,432.1759792587321,433.0535731733853,431.78081648608486,432.8782405446722
0.7800000000000004,-0.0190317963236,-0.00546758594326,10.6619101045,6.28071847871,0.0273414101323,0.0,-0.0922647927788,-0.020616943876,1.75000697448,0.0130886849808,0.0481743010465,0.0,462.08561855405486,461.3174323664716,461.0235013930369,461.31826645312907
0.8400000000000004,-0.0251634557059,-0.00675428837191,10.7706121176,6.28133934867,0.0303399243681,0.0,-0.112429273305,-0.0221978673544,1.87318988199,0.00420904543078,0.0533524506673,0.0,446.62870826669234,447.05235580029375,448.0523144431982,447.3297477442449
0.9000000000000005,-0.0325537798314,-0.00812361180298,10.8861015426,6.28137876775,0.0348742014721,0.0,-0.134325362537,-0.0234297691524,1.97627022111,-0.00761224663366,0.10104077761,0.0,440.1981662452784,444.1304753221494,441.1462800565162,440.1691339125824
0.9600000000000005,-0.041368556744,-0.00956897862926,11.0079896764,6.28102347102,0.0407190127113,0.0,-0.160111105842,-0.0247905272623,2.0864475535,-0.00273818678239,0.0889462588168,0.0,444.4495202046787,443.46528933207054,443.9703294188853,444.3701315084008
1.0200000000000005,-0.0519988486095,-0.0111102903683,11.1400442878,6.28058300101,0.0457686561157,0.0,-0.194845196444,-0.0266195330833,2.31490835874,-0.01865992036,0.0722829424873,0.0,480.30856691648836,479.0483607714795,481.29624693787383,480.08987461333805
1.0800000000000005,-0.0646964273469,-0.0127682291383,11.2828710464,6.2792126367,0.0503844609482,0.0,-0.2288735368,-0.0287750717978,2.44568558402,-0.0328831112665,0.0848940725186,0.0,451.7636056400252,452.783814555318,452.1742760175021,451.0269931770987
1.1400000000000006,-0.0795123216544,-0.0145856957436,11.4330371712,6.27766288578,0.0553160392686,0.0,-0.265499506937,-0.0319862420171,2.55957014407,-0.0145300578354,0.0761585799575,0.0,447.42086345947126,446.71453314354363,446.86383590165394,448.35719705494023
1.2000000000000006,-0.0964194931626,-0.0166036688477,11.586320616,6.2766297495,0.0600311152776,0.0,-0.298473377614,-0.0353606420558,2.54987087448,-0.0232265460993,0.0830392957221,0.0,406.68096779096345,407.3023438702037,408.6380771004028,407.86216096917514
